age,location,policy_type,gender,income_bracket,policy_duration_months,coverage_amount,premium_paid,vehicle_age,late_payments,previous_claims,claim_frequency,premium_to_coverage,has_late_payments,high_risk_location,young_and_risky,high_claim_risk,underinsured,age_risk,claim_severity,claims_and_location
56,0,0,1,1,51,99650.13156867484,12872.834585370296,1.3572380852341823,4,1,0.2347417840375587,0.1291802940038862,1,0,0,0,0,0,1960.3999215840033,0
69,1,0,0,1,105,4207316.809047687,30677.97812392412,9.534038270905308,3,0,0.0,0.0072915778495777715,1,1,0,0,1,0,0.0,0
46,1,0,1,0,111,4976460.582271221,34224.94808882534,1.831711121153832,4,1,0.1079913606911447,0.006877367449061888,1,1,0,0,1,0,900.8197459688316,1
32,2,1,0,1,42,4338746.939486356,6550.619021258064,9.20518419084371,5,0,0.0,0.0015097951315260645,1,1,0,0,1,0,0.0,0
60,2,0,0,1,64,2017639.947287378,42145.17690668679,16.256279058559958,3,1,0.1871490954460387,0.020888353620508688,1,1,0,0,0,0,1562.255897516013,1
25,1,0,1,1,24,1791518.867370102,25666.890733304983,3.060462195745784,5,0,0.0,0.014326888238533795,1,1,1,0,0,1,0.0,0
78,3,0,0,1,35,4801346.66869378,10793.03521703454,2.4111048354956965,3,0,0.0,0.002247918331939908,1,0,0,0,1,0,0.0,0
38,0,0,1,0,104,4942545.001206774,28707.506358958966,4.908641609817619,2,1,0.1152516327314637,0.0058082437881430094,1,0,0,0,1,0,961.4460148062686,0
56,0,2,0,1,67,3080559.416869908,43937.93209892457,1.665040614542157,0,0,0.0,0.014262971756259539,0,0,0,0,0,0,0.0,0
75,3,1,1,1,57,2596614.2769415067,3700.108632095004,7.290798338098989,1,0,0.0,0.0014249743023840784,1,0,0,0,1,0,0.0,0
36,0,0,1,1,13,2605894.1721060234,11828.254827525036,12.176954264589355,4,0,0.0,0.004539038810073905,1,0,0,0,1,0,0.0,0
40,4,0,0,0,65,1048942.96387437,28598.446908681348,9.442072595211917,0,0,0.0,0.02726406260490051,0,0,0,0,0,0,0.0,0
28,1,1,0,1,91,3654589.209615232,1090.6669587987767,14.406472694490835,4,1,0.13169446883230906,0.0002984376336866681,1,1,1,0,1,1,1098.780353807274,1
28,2,0,0,2,87,896785.3656557833,9808.990517780576,2.404982912801794,1,0,0.0,0.010937946563421211,1,1,1,0,0,1,0.0,0
41,1,0,1,0,39,1087613.8885615692,12599.353184349511,6.806232125568732,3,0,0.0,0.011584398839526479,1,1,0,0,0,0,0.0,0
70,1,0,0,2,101,3387107.463304312,44319.99428203559,8.338952156640094,0,1,0.11867088607594937,0.013084909360374965,0,1,0,0,0,0,990.00099000099,1
53,0,0,0,1,107,4352934.169724469,26686.2020637854,9.193864395183237,1,0,0.0,0.0061306238417495615,1,0,0,0,1,0,0.0,0
57,2,0,1,1,72,3346326.9305128525,31976.998936444583,1.3738456519220563,4,0,0.0,0.009555850191835661,1,1,0,0,1,0,0.0,0
41,1,0,0,0,117,2400892.309679404,1150.4976075385075,1.2844197111341038,1,3,0.3073770491803279,0.0004791958381924167,1,1,0,0,1,0,2563.883428766772,3
20,4,2,1,1,79,3491436.405518919,19949.93080769212,1.6892112112859703,4,2,0.3033367037411527,0.0057139607982026035,1,0,0,0,1,1,2531.3251487153525,0
39,0,2,1,1,16,2302169.194853656,22911.67467956252,2.8074245962690214,5,0,0.0,0.009952211432269145,1,0,0,0,1,0,0.0,0
70,0,1,1,0,28,3288328.420842097,42105.530876365934,0.0087202861439905,4,2,0.8534850640113798,0.012804539376738373,1,0,0,0,0,0,7140.307033202427,0
19,0,1,1,2,31,3912777.85517134,10538.536549972869,6.038102394810025,0,1,0.3856041131105399,0.0026933643853843943,0,0,0,0,1,1,3224.766204450177,0
41,2,1,1,0,51,122708.22741304716,4198.147607673919,8.227336482217488,1,1,0.2347417840375587,0.034212435091399526,1,1,0,0,0,0,1960.3999215840033,1
61,3,0,1,1,104,1133984.3263613177,41417.34410546828,10.974105110791031,0,0,0.0,0.036523735626160896,0,0,0,0,0,0,0.0,0
47,0,1,1,1,100,3530336.378477392,11390.588994884436,0.5470879244183147,1,0,0.0,0.003226488283683673,1,0,0,0,1,0,0.0,0
55,2,0,1,2,93,2036896.0876551664,34850.69003248543,8.900181777797853,5,0,0.0,0.017109704354878404,1,1,0,0,0,0,0.0,0
19,0,1,1,1,33,2634622.467031876,5485.380234787937,18.760723735840084,4,2,0.7246376811594204,0.002082036528044686,1,0,0,0,1,1,6058.770069675857,0
77,2,0,0,0,64,3440772.59102526,33953.09783323733,15.0252562573206,5,1,0.1871490954460387,0.009867870321659792,1,1,0,0,1,0,1562.255897516013,1
38,3,0,1,1,83,2656275.714176758,21739.442066905383,6.422500352228178,3,0,0.0,0.00818418128398284,1,0,0,0,1,0,0.0,0
50,0,1,1,1,51,4192832.2337148255,46473.34932214369,10.524771577996813,2,0,0.0,0.011083999220767433,1,0,0,0,0,0,0.0,0
29,1,2,1,2,58,1926841.428877676,10820.56140870018,13.972177502493714,3,0,0.0,0.005615698931097732,1,1,1,0,1,1,0.0,0
75,4,2,0,1,115,3474294.577925989,4289.4373430860815,3.0898623190892938,0,0,0.0,0.0012346210819292383,0,0,0,0,1,0,0.0,0
39,3,2,1,0,85,2155690.603879352,27142.708543153432,1.4425769433447957,1,0,0.0,0.012591189277531703,1,0,0,0,0,0,0.0,0
